Age,Years_of_Education,Work_Experience,Annual_Income,Owns_Car
26,11,3,40637.84,0
25,12,2,29246.37,0
29,7,6,34075.08,0
51,17,19,71868.74,1
50,0,28,35481.37,0
40,14,13,54058.55,1
41,7,13,31815.61,0
54,10,24,43860.34,1
52,11,15,46482.99,0
61,11,37,55400.85,1
57,3,27,61272.04,1
39,15,16,39776.42,1
44,3,12,35220.85,1
52,4,20,38771.97,0
18,4,0,15698.72,1
52,7,27,57898.86,1
54,9,14,44183.77,1
64,16,25,57350.93,0
31,8,11,33717.3,0
20,18,1,40668.22,0
18,13,0,36432.85,0
22,7,1,29230.74,0
43,8,22,31309.12,0
31,10,5,43753.36,1
56,0,29,28751.0,0
44,13,20,53636.14,0
26,4,4,23970.3,0
32,13,10,44273.89,1
32,3,6,17508.91,0
43,0,13,14514.02,0
59,18,32,67010.05,1
30,7,9,43151.72,0
49,14,21,44541.34,1
56,14,24,49607.57,0
49,8,14,30068.51,1
21,8,1,24157.54,0
47,9,13,23352.95,0
54,19,18,49664.4,1
40,8,12,31390.45,0
56,2,22,18922.25,0
62,19,25,57037.29,0
32,10,7,20297.32,1
60,5,27,33033.88,0
46,1,22,34112.47,0
53,6,18,46457.08,1
30,17,10,67190.01,1
49,1,25,48023.62,1
24,16,2,48063.13,0
39,10,16,49976.78,0
45,11,18,45811.02,1
19,18,0,46898.65,0
59,6,24,61136.03,0
62,19,28,74312.13,1
23,5,2,29432.39,0
45,0,18,13156.48,0
45,16,19,48337.61,1
61,10,31,56920.7,0
61,17,28,67799.32,1
37,16,14,43900.66,1
47,6,13,56673.78,1
28,16,5,44625.94,1
45,19,21,57572.75,1
42,8,13,36616.19,0
56,16,15,56554.27,1
50,19,15,62378.03,1
18,7,0,5000.0,0
44,16,22,69119.47,0
30,6,8,38488.29,1
58,0,34,49103.21,1
20,12,1,33754.32,0
56,18,24,71424.81,1
23,18,2,35237.73,0
25,16,4,49828.99,0
44,12,12,45717.88,1
26,15,6,36195.93,0
54,7,29,53347.45,1
50,18,17,68534.49,1
59,17,35,69806.09,0
61,0,34,39683.83,0
41,13,16,35982.83,1
32,18,6,61031.83,0
49,14,19,43211.87,1
49,17,20,51645.74,1
41,1,11,20423.16,0
58,16,17,69045.16,1
29,17,8,57839.49,1
56,5,17,35251.75,0
19,18,0,49430.13,0
20,3,1,5000.0,0
54,0,30,24006.8,0
34,7,8,21210.5,0
19,6,0,30222.13,0
19,2,0,16246.54,0
45,9,11,38846.53,0
40,9,15,40317.35,0
54,18,20,77883.39,1
49,13,18,47998.2,1
50,1,21,14359.33,0
18,0,0,16271.95,0
36,17,9,51118.39,1
19,6,0,27236.72,0
61,7,33,48352.35,1
43,0,17,13013.1,0
49,2,17,31228.22,0
23,7,3,22501.75,0
49,14,15,52049.42,1
21,4,1,30965.7,0
28,2,7,5000.0,0
34,18,8,53059.19,0
55,0,18,17310.03,1
41,14,17,22894.54,1
22,7,2,21110.35,0
51,1,23,29110.23,0
23,2,2,18135.22,0
39,13,10,40524.59,0
28,13,5,22010.0,0
33,10,7,25175.68,0
50,15,23,69669.59,1
26,3,6,8433.72,1
23,19,3,62232.26,1
33,4,11,33899.84,1
46,13,16,44622.19,1
20,15,1,29209.21,0
37,17,10,60579.13,1
53,6,23,36990.89,0
36,9,11,18843.5,1
43,6,12,36523.17,0
20,0,1,10672.63,0
36,18,15,65677.06,0
37,15,9,49095.95,1
49,18,14,52208.53,0
24,3,3,27396.79,0
58,17,31,80569.9,1
50,1,22,30332.06,0
57,0,28,31703.22,0
56,14,18,40567.29,0
35,4,12,18424.74,0
57,19,21,73207.7,0
18,10,0,19827.2,0
28,9,7,15331.62,0
45,1,13,56958.78,1
42,2,10,6965.94,0
40,11,9,61067.51,1
48,19,17,57825.77,1
47,4,15,28754.37,0
59,4,29,33477.22,0
52,5,22,44428.37,1
24,8,3,10302.26,1
33,1,7,5000.0,0
43,11,11,56501.72,1
19,2,0,5000.0,0
18,19,0,50860.88,0
29,11,7,23345.44,0
22,16,3,47184.21,0
54,9,25,63535.46,1
49,13,25,47928.79,1
26,16,4,22465.59,0
58,17,35,85787.94,0
52,18,15,68362.44,1
36,16,8,42064.29,0
33,13,10,38720.48,0
20,8,1,11393.48,0
37,7,15,46802.57,0
41,1,10,13952.84,0
50,12,17,33312.91,1
41,6,19,35936.46,0
28,8,5,18299.87,0
25,10,5,19699.85,0
53,13,28,51599.01,1
55,3,23,34863.55,0
57,12,23,38788.9,1
37,1,11,32451.49,0
52,4,17,38871.6,0
42,10,20,38946.37,0
52,5,21,27066.57,0
42,17,20,55707.75,1
46,9,12,46794.35,0
35,3,15,31445.84,1
63,8,27,58985.04,0
35,5,7,19196.23,0
19,1,0,5000.0,0
52,16,26,73078.11,1
33,4,10,21228.04,0
58,5,32,50061.66,1
53,11,15,62092.29,0
50,9,13,63844.09,1
21,5,1,10301.79,0
50,7,19,39839.6,1
31,1,8,28968.36,1
38,11,17,33457.21,1
37,12,16,37278.88,0
25,6,6,16619.61,0
24,9,4,26919.1,0
20,12,1,28298.76,0
34,16,9,40762.05,0
50,13,21,41842.43,1
29,1,8,22819.4,1
39,10,9,49578.31,1
39,0,12,32527.15,0
63,18,19,59589.26,1
47,3,19,38137.25,0
55,18,31,70363.26,1
55,10,29,45293.29,1
62,7,22,50942.18,1
25,10,6,24333.95,0
44,3,19,24938.23,0
44,16,10,36432.7,1
51,6,17,31157.79,0
38,7,10,32938.61,0
47,2,12,39789.34,0
50,1,28,27465.05,0
45,14,17,39618.31,0
64,4,39,61673.69,1
50,0,17,18454.48,1
22,3,1,5000.0,0
36,14,11,45630.94,0
21,19,1,41552.27,1
52,18,21,85103.96,1
34,2,13,25453.66,0
61,19,28,68836.58,1
45,10,19,33755.03,1
47,16,13,55901.67,0
46,12,11,57867.1,1
63,10,20,52018.14,0
23,1,3,5000.0,0
52,8,15,44488.06,1
58,1,23,30413.93,0
54,8,24,48686.13,1
41,8,13,31251.93,0
46,7,13,30517.05,1
63,16,24,58722.2,1
48,0,25,36322.38,1
52,10,25,44417.75,0
50,7,20,34402.69,0
38,9,8,23979.34,1
49,6,27,44740.14,0
40,2,16,27117.02,1
50,2,17,23012.32,1
20,17,1,33406.21,1
35,4,8,41261.73,1
42,11,16,23795.57,0
59,11,29,59131.72,0
48,18,15,70814.04,1
20,5,1,5000.0,0
57,1,30,42041.4,1
63,11,30,53697.45,0
41,18,11,56360.55,1
49,4,13,25967.62,1
64,11,25,64453.93,1
39,16,16,55331.19,1
40,16,11,50817.2,1
19,9,0,14711.39,0
44,16,19,73522.92,1
59,14,18,54799.31,0
19,11,0,50598.06,1
43,15,11,67675.69,1
34,18,14,35416.49,0
57,7,25,37050.54,1
50,16,15,44130.49,0
26,4,4,17317.94,0
60,15,25,62371.64,1
56,5,29,43599.26,1
46,7,21,48841.29,0
59,17,28,80635.83,1
43,11,11,50074.88,1
52,14,16,45990.65,1
42,8,10,25779.76,1
41,12,15,43827.62,0
30,14,10,46261.2,0
24,9,3,24868.09,0
53,15,16,40445.15,0
62,6,29,51920.6,1
37,16,15,46676.85,0
18,6,0,13174.87,0
25,13,5,35453.87,1
63,14,24,56501.01,0
33,6,7,21734.99,0
31,8,10,17498.75,0
29,18,8,47577.53,0
40,15,12,55029.54,0
32,7,10,31246.44,1
45,17,21,67481.21,1
51,17,23,53514.55,1
19,19,0,30919.42,0
49,6,18,33241.5,0
40,2,14,16857.63,0
39,17,13,47096.65,0
42,9,19,42217.5,1
39,6,17,27169.19,0
39,16,17,39699.32,0
59,13,16,46110.05,1
23,2,3,15800.59,1
32,11,10,43314.81,0
60,12,31,64114.23,1
54,1,28,36444.73,0
50,2,26,30319.07,0
25,4,4,21549.14,0
61,10,27,51376.64,0
61,7,19,42930.96,0
22,11,2,20206.73,0
56,6,27,42738.75,1
21,14,2,39086.66,1
23,16,2,43311.27,1
62,3,20,21724.81,0
49,12,22,50662.61,1
47,17,11,39161.1,0
64,0,22,31936.77,1
52,15,14,45586.63,1
57,12,18,67156.43,0
33,9,7,32592.43,0
30,11,7,42511.64,1
59,1,24,52808.73,0
47,2,24,21925.98,1
36,9,11,38656.75,0
34,1,12,6340.89,0
36,12,8,42248.97,1
45,12,13,61657.09,1
43,17,18,49621.17,1
54,2,15,18840.46,0
43,6,16,31988.26,0
40,13,15,65958.17,1
26,19,5,56010.39,1
29,16,4,33650.85,0
18,11,0,41950.61,1
18,15,0,18849.37,0
64,11,21,73065.59,1
51,14,24,63864.51,0
49,9,23,61835.57,1
42,6,21,18622.02,0
57,19,19,66294.42,1
62,4,35,42761.11,1
18,0,0,5000.0,1
33,16,8,32939.76,0
56,2,17,34370.81,0
22,12,3,38077.32,0
39,13,10,55699.74,0
46,17,16,50765.79,0
20,3,0,10583.9,0
29,17,8,32875.4,1
43,4,19,45807.86,0
33,15,11,46095.48,0
54,0,19,32925.89,1
39,13,10,50279.05,1
46,14,20,66391.07,0
31,8,8,20986.01,1
45,14,13,54975.87,0
22,16,2,39349.91,1
64,3,41,66756.77,1
47,11,22,38756.36,1
63,4,34,55614.26,1
22,4,3,19603.42,0
29,10,5,34178.56,1
33,5,10,25440.21,1
43,6,22,49366.66,0
43,13,12,47538.52,1
38,10,15,23655.85,1
56,12,26,65995.04,1
53,1,24,40262.02,0
50,6,23,44371.38,0
47,19,25,53315.26,1
54,3,28,26468.85,0
40,7,9,11725.57,0
27,19,7,54203.3,0
22,18,2,30104.51,0
53,12,20,32712.49,0
51,13,20,64049.89,1
48,9,19,49581.8,0
27,10,5,27268.28,0
36,1,15,18959.53,0
49,8,23,18126.56,0
18,16,0,46567.45,0
22,2,1,5000.0,0
62,5,37,50402.91,1
21,4,2,5000.0,0
33,4,11,33175.68,1
41,14,9,37271.55,1
33,16,6,31139.58,0
19,8,0,18303.98,1
45,2,12,17536.05,0
49,19,18,72442.68,1
44,16,22,51996.05,1
37,9,12,48726.17,1
41,2,9,24101.43,0
29,17,5,54143.68,1
52,17,14,56578.34,1
50,16,13,66220.59,1
50,2,17,15963.76,0
60,2,22,34136.24,0
54,5,28,36235.64,0
29,12,9,51166.28,1
20,14,1,49490.34,0
18,8,0,21404.21,0
50,3,26,21084.89,1
57,13,20,57370.97,1
27,4,4,5000.0,0
60,1,34,53261.43,1
61,10,18,42568.3,1
46,8,19,38994.3,1
30,2,8,10190.49,0
29,8,6,18682.18,0
48,2,16,33772.91,0
63,1,35,36813.83,1
19,11,0,28124.83,0
52,9,17,32061.09,0
40,8,16,44560.59,0
34,14,10,52777.9,1
43,7,11,30310.72,0
25,4,5,30679.22,0
46,10,16,40758.76,1
43,1,20,32697.55,0
27,14,7,23370.72,0
43,5,17,34934.31,1
51,7,21,37085.19,1
58,4,35,44455.22,0
24,15,2,39306.82,0
21,17,2,42557.0,0
62,5,21,45257.01,1
28,4,5,13248.26,0
46,15,15,56990.79,1
53,12,30,67225.25,1
42,4,21,16998.59,0
38,12,9,32094.6,0
53,16,14,47514.65,0
27,17,6,34179.54,1
54,7,21,35953.02,0
26,12,3,43631.19,0
41,18,17,71275.87,1
52,2,22,31661.75,1
52,7,30,41357.64,1
53,1,17,34429.24,1
35,7,10,5860.32,0
56,12,25,42748.22,1
49,12,24,27483.7,0
41,0,15,9143.0,0
40,5,15,21829.82,0
49,18,15,72976.82,1
54,15,29,33089.38,1
29,7,6,21532.97,0
30,0,5,17695.66,1
40,15,16,54107.31,1
42,8,12,49217.38,0
52,12,15,48710.51,0
58,10,33,57642.78,1
47,12,18,28714.93,1
34,9,12,24317.31,0
37,3,10,5000.0,0
42,5,19,37826.08,0
39,6,9,31686.9,0
30,4,6,23135.38,0
36,10,16,29985.66,0
53,12,27,43670.5,1
29,18,7,50294.47,0
58,9,22,39706.14,1
36,9,15,26095.95,0
29,10,7,27116.11,0
26,6,6,16192.58,1
24,17,4,34532.77,1
45,3,11,12742.32,0
31,1,6,18786.9,0
48,13,21,66460.49,1
36,12,8,38409.96,0
64,11,24,55424.34,1
33,6,13,33763.78,0
22,1,2,13265.66,0
52,12,26,44130.88,0
29,13,7,55398.46,1
42,16,16,45026.89,0
38,8,8,37880.88,0
53,16,20,63201.91,1
40,7,11,11915.58,1
33,1,8,12311.54,0
56,12,30,56366.28,1
62,2,25,36431.51,0
59,15,25,63214.21,1
56,5,22,45376.63,1
31,18,5,47724.85,1
48,6,18,38946.18,1
22,9,1,24650.45,0
52,8,16,29426.66,0
40,1,9,18824.01,1
46,14,16,57290.9,1
60,4,32,53087.88,1
28,3,5,22273.16,0
35,19,9,66343.5,1
64,3,33,45888.65,1
29,17,5,53838.8,0
26,3,6,26173.91,0
27,16,5,40366.49,0
61,11,26,60560.03,1
34,16,10,37793.55,1
55,9,17,46498.12,0
24,0,4,14970.26,1
63,17,26,76410.95,1
30,17,10,56207.59,1
57,13,18,62741.14,1
59,14,26,57706.2,1
26,11,5,28846.07,0
44,3,10,21451.01,0
19,2,0,12362.84,0
22,19,3,28012.53,1
46,11,22,60117.57,1
54,6,20,38638.73,0
55,10,29,46849.98,1
36,0,15,5000.0,1
25,5,5,19631.86,0
62,14,20,54615.23,0
18,14,0,24429.54,1
39,18,11,46469.53,1
34,10,14,36933.63,0
24,1,3,5000.0,0
42,13,11,49818.78,0
62,1,33,29612.16,0
21,3,1,14346.08,0
53,16,31,75200.45,0
23,2,4,12534.04,1
48,12,21,52459.77,0
36,8,8,33726.51,1
61,6,31,45879.97,0
56,14,16,52129.93,1
44,10,10,32486.26,0
27,19,7,51110.12,1
43,1,12,18067.32,0
36,14,10,59260.9,1
56,13,33,67411.43,0
20,19,1,29972.04,0
62,10,24,36628.42,0
30,2,10,16695.4,0
45,16,12,47546.95,1
37,11,14,38268.06,0
45,14,24,60011.61,1
25,15,5,43157.36,1
58,4,29,42956.29,1
56,19,21,79761.95,1
18,5,0,5000.0,0
20,18,1,43539.39,0
30,4,10,16209.47,1
45,2,17,40354.36,0
42,0,12,5000.0,1
50,5,14,10345.18,0
55,14,16,55546.36,0
23,1,3,21662.97,0
61,2,26,43032.54,1
62,16,37,61090.19,1
49,11,23,63264.22,1
62,17,21,50785.31,1
64,14,32,76274.84,1
38,11,12,28407.72,0
33,15,10,41381.76,0
38,7,15,39292.7,0
28,13,8,23737.92,0
54,16,29,77390.23,1
53,7,18,35320.56,1
52,14,14,51972.76,0
36,13,13,54922.01,0
37,17,8,41168.75,0
35,19,9,63608.14,0
64,6,18,56605.34,0
58,2,29,29344.21,1
31,11,6,47993.88,0
32,2,10,5000.0,0
48,19,26,69296.0,1
18,13,0,19114.01,0
20,14,0,43425.69,0
33,13,8,48504.56,0
40,6,18,53773.8,0
28,16,5,57112.83,1
29,11,6,32042.29,1
27,19,3,36782.53,0
49,3,24,38356.87,0
33,8,9,29792.69,0
25,5,5,35511.55,0
55,15,31,40336.19,0
29,1,5,35080.57,1
41,7,18,40619.91,1
45,10,11,30869.88,0
25,12,5,41339.89,1
45,16,19,67974.21,1
53,7,29,45543.47,1
43,17,10,34250.8,0
25,17,3,40061.53,0
45,13,16,57893.95,0
45,14,15,53966.65,0
54,5,18,33634.93,0
58,10,23,61983.16,1
53,12,16,55293.06,1
44,0,15,28863.39,0
34,5,12,22093.65,0
26,8,5,21226.16,0
50,7,13,18500.4,0
37,10,11,34006.08,0
30,18,4,56353.92,0
45,8,23,38959.07,1
46,16,12,56255.39,1
30,11,9,46611.99,1
63,13,39,68128.33,1
52,14,27,61805.15,1
23,15,3,24821.78,0
35,19,13,51774.35,1
22,0,3,25366.27,0
64,9,32,54237.97,1
42,7,16,53567.38,1
19,17,0,32468.84,1
27,0,5,12939.47,0
47,1,20,22273.22,0
62,0,27,38019.85,1
22,0,2,16550.09,0
50,8,14,44024.66,0
18,12,0,39818.52,1
35,0,9,14868.27,0
49,12,13,43294.72,0
64,19,31,55118.07,1
28,6,5,29284.51,0
38,1,16,23121.84,0
43,5,10,27220.85,0
42,6,12,28691.83,1
39,13,16,45331.2,0
44,17,18,53837.64,0
30,14,5,34219.66,0
50,1,26,32395.89,0
51,9,27,51641.59,1
58,11,22,42694.32,0
52,16,19,53092.64,1
18,7,0,17353.78,0
38,10,14,38448.13,0
23,2,3,11118.15,0
45,5,22,41097.21,0
34,8,8,13676.33,0
22,5,2,5000.0,0
48,8,16,40335.69,0
22,6,3,14073.14,0
55,8,25,53842.42,1
20,17,1,52198.01,0
40,11,11,41837.47,0
54,7,18,28480.25,0
54,7,23,52245.94,1
27,17,6,47089.03,0
27,19,5,33730.64,0
36,14,7,28314.8,0
34,6,13,43869.47,0
38,10,8,48911.36,1
31,19,11,27628.57,1
26,15,3,25722.09,0
63,3,33,52808.55,1
18,5,0,15215.07,0
62,2,37,48118.49,1
30,8,7,27880.47,0
21,9,1,31344.92,0
18,13,0,31458.34,1
57,10,18,41723.92,1
49,17,15,66787.44,1
51,11,28,53320.55,1
45,11,16,50023.89,0
48,12,23,51474.48,1
25,12,5,29136.43,1
56,18,28,82883.89,1
43,18,11,57949.68,0
51,13,17,46249.51,0
20,3,1,25283.29,0
29,12,9,23991.76,0
18,7,0,41762.84,0
61,18,23,64008.5,1
22,11,2,16919.86,0
47,17,25,79659.41,1
47,5,15,26968.32,1
34,17,9,51132.45,1
64,18,38,81376.91,1
40,4,8,35841.73,0
32,8,5,31097.75,0
54,2,25,26226.85,0
38,9,17,40089.93,1
31,18,6,44106.84,1
19,2,0,12190.12,0
28,14,6,55681.5,0
56,0,24,36359.25,1
55,6,26,43566.46,1
51,11,20,54684.91,0
55,16,23,68100.81,1
51,19,21,53021.26,1
35,4,11,24417.23,0
47,3,19,55225.28,1
32,11,11,49228.21,1
44,19,11,51665.64,1
51,17,26,56267.92,1
55,16,30,57134.74,0
50,18,17,68163.2,1
41,8,14,51376.41,1
32,3,8,25421.67,0
47,1,14,24671.62,0
59,3,24,31258.45,1
34,1,6,18493.73,0
22,14,2,27398.78,0
46,1,22,7442.34,0
21,3,1,29168.26,1
27,5,7,11541.87,0
34,6,10,23951.68,1
27,9,7,36163.57,0
34,18,10,65544.67,1
37,18,7,53171.31,1
41,11,16,30362.89,1
22,2,1,8086.54,0
51,12,20,42515.15,1
23,17,4,42517.89,0
19,7,0,32019.84,0
30,14,7,15126.11,0
60,0,32,29886.1,1
60,2,35,34659.5,1
28,7,7,13332.39,0
64,3,24,43054.91,0
40,15,16,35850.24,0
33,9,8,18901.06,0
48,11,22,55910.69,1
28,13,8,53405.71,1
33,13,11,40639.03,1
25,1,5,5000.0,0
21,4,1,7744.46,0
57,4,29,49680.02,1
21,5,2,18464.38,1
42,12,10,40589.61,1
20,8,1,25630.5,1
49,14,16,50323.4,0
20,13,1,47957.12,0
44,6,20,27708.57,1
46,19,20,53160.41,1
49,1,13,9365.46,0
36,6,12,23400.12,0
38,5,13,16980.25,0
22,16,3,42280.76,1
35,1,10,17709.47,1
45,2,15,14209.24,0
59,4,31,47091.39,0
39,4,12,40868.13,0
38,0,14,21978.38,0
23,7,3,5000.0,0
18,11,0,47271.31,0
22,3,2,21069.23,1
58,12,26,73964.18,0
29,14,5,50107.24,1
43,10,11,51305.15,1
63,9,21,49452.67,0
51,2,16,24677.04,0
31,13,9,43534.81,1
43,15,19,45312.15,1
62,9,29,55438.81,1
44,9,21,15432.14,0
26,11,7,33729.32,0
43,8,20,52346.76,1
64,0,34,37143.09,1
39,4,13,43474.83,0
64,19,28,68562.55,1
47,7,12,44126.51,0
60,10,25,41717.3,1
34,11,13,48319.57,1
43,0,20,25225.95,0
53,19,17,60202.5,1
18,10,0,5000.0,1
25,4,5,15456.23,1
52,14,14,52734.53,1
32,4,8,29887.09,1
64,11,37,75309.5,1
39,4,12,46050.33,1
31,16,5,56262.67,0
43,16,16,47279.1,1
45,11,22,43451.96,0
40,14,15,54889.15,0
31,14,6,45496.14,1
41,5,13,45083.46,0
19,11,0,52493.89,1
62,19,30,94271.8,0
43,17,19,71339.38,1
31,13,5,43079.03,0
24,1,5,25193.25,0
20,8,0,38614.41,1
64,4,26,38727.0,0
40,19,9,49173.39,0
63,0,26,24225.79,0
60,2,27,26736.15,0
64,5,30,30380.05,0
62,4,21,39599.02,1
35,4,12,14502.47,0
55,0,15,16164.78,1
52,16,26,67612.56,0
32,18,12,53416.09,0
42,13,13,49396.25,1
54,11,23,63351.49,1
45,9,15,47645.3,0
27,19,3,62788.87,0
56,17,22,62599.76,1
34,10,12,52317.91,1
56,1,26,35397.37,0
39,17,9,51887.06,0
43,6,20,49515.26,1
61,14,28,51578.46,1
42,10,19,62336.01,1
34,17,11,46879.0,0
30,11,8,22818.92,1
37,5,8,31635.02,0
42,19,11,52326.78,0
21,12,2,51558.07,1
27,19,4,43770.99,1
20,15,1,39644.49,0
58,17,26,50144.07,0
62,9,20,54729.14,1
35,7,7,20226.1,1
64,17,23,71633.25,0
53,0,30,26616.55,0
64,7,27,26230.65,0
39,5,12,29011.9,0
51,4,18,33164.29,0
64,14,21,66510.72,1
25,14,4,53060.01,0
57,1,18,47224.09,1
61,0,35,44441.54,1
36,10,10,38586.19,0
59,9,24,33426.66,0
58,17,25,65920.21,1
54,17,22,63349.4,1
23,16,4,38913.6,0
43,7,16,41229.68,0
51,14,14,61519.06,0
62,7,30,39415.96,1
23,16,2,31560.16,0
54,11,14,43807.08,1
50,7,28,36847.71,1
39,13,16,29287.47,1
38,3,17,15934.07,1
23,0,3,5000.0,0
23,0,3,20484.51,0
21,18,1,59828.27,1
47,15,15,40645.67,0
28,13,8,43860.74,1
47,15,16,60835.16,1
48,4,24,19477.31,1
41,8,17,38409.79,0
26,1,3,36635.16,1
20,17,1,47271.47,0
48,5,22,32946.99,0
57,8,20,37498.13,0
54,0,29,10475.38,0
53,8,23,48104.74,1
41,15,11,67278.17,0
48,12,20,40264.56,0
23,8,4,5544.15,0
19,12,0,23057.76,0
37,8,15,43416.0,0
45,10,13,35715.0,1
28,3,7,9695.32,0
21,1,2,9491.55,0
32,5,7,25397.01,1
23,13,2,20016.1,0
47,3,23,29427.16,0
55,5,23,33027.32,1
19,18,0,35290.96,0
32,5,6,12429.63,0
28,1,8,23812.58,0
25,17,5,37556.13,1
43,12,21,27450.55,1
62,8,20,47242.98,1
61,18,29,76051.99,1
22,12,2,23639.84,1
23,10,2,22303.37,0
43,0,15,13909.46,0
21,6,1,15333.47,0
36,14,13,56368.5,1
37,0,12,15959.41,0
50,11,13,51895.94,1
37,6,14,20411.68,0
29,14,6,35863.1,1
64,18,19,74240.14,1
18,0,0,5000.0,0
43,16,21,65521.36,0
31,16,8,39016.16,1
55,2,16,25283.37,0
54,11,27,68401.63,1
28,5,6,17041.81,0
53,10,19,46853.46,1
30,2,7,22664.36,1
60,7,27,47765.09,1
20,13,1,35050.53,0
50,13,19,49934.6,1
23,9,3,13377.61,0
27,1,7,17082.89,1
22,13,2,26275.32,0
40,8,16,43757.67,1
27,2,7,29320.61,0
61,7,27,27744.43,0
19,15,0,49438.08,1
